first_move,game_result,winner_symbol
"(2, 2)",Draw,Draw
"(1, 0)",Lose,
"(2, 1)",Win,X
"(1, 2)",Win,X
"(1, 1)",Draw,Draw
"(1, 1)",Win,X
"(2, 0)",Win,X
"(2, 2)",Win,X
"(0, 2)",Lose,
"(2, 1)",Lose,
"(0, 1)",Win,X
"(2, 0)",Lose,
"(1, 0)",Draw,Draw
"(0, 0)",Lose,
"(1, 1)",Win,X
"(0, 0)",Lose,
"(2, 0)",Win,X
"(0, 0)",Lose,
"(1, 2)",Win,X
"(0, 0)",Win,X
"(0, 1)",Lose,
"(2, 2)",Win,X
"(0, 1)",Lose,
"(1, 2)",Lose,
"(2, 2)",Win,X
"(1, 1)",Win,X
"(2, 2)",Win,X
"(0, 2)",Win,X
"(0, 1)",Draw,Draw
"(2, 0)",Win,X
